Car_Name,Year,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Selling_Price
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.1,60000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.8
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,7.9,27000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.9
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.0
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,55000,CNG,Dealer,Manual,2,2.0
alto 800,2018,3.7,13000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.1,60000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.8
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,7.9,27000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.9
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.0
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,55000,CNG,Dealer,Manual,2,2.0
alto 800,2018,3.7,13000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.1,60000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.8
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,7.9,27000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.9
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.0
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0

